Sample ID 1,Structure 1,Log AC50 (M) 1,Sample Name 1,MOA 1,Sample ID 2,Structure 2,Log AC50 (M) 2,Sample Name 2,MOA 2,Gamma,Label
NCGC00386226-04,NC1=NC(N)=C2N=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=NC2=N1,-7.274421616144317,Pralatrexate,Dihydrofolate Reductase (DHFR) Inhibitors,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.980325,0
NCGC00345809-03,CC(C)C1=NN(C2=C1C(=O)NC(CC3=CC=C(OCCO)C=C3)=N2)C4=C(Cl)C=CC=C4Cl,-7.18160253455865,RGB-286147,CDK1/2/3/7/9 Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.970045,0
NCGC00345782-02,ClC1=CC=C(OCCCCCCN\C(NC2=CC=NC=C2)=N/C#N)C=C1,-8.331614083309999,GMX-1778,IKK beta Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.60559,1
NCGC00346644-04,O=C(CC1=CC=C(C=N1)C2=CC=C(OCCN3CCOCC3)C=C2)NCC4=CC=CC=C4,-7.43161051350816,KX-01,Src Kinase Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.90619,1
NCGC00242506-13,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)B(O)O,-7.43161051350816,Bortezomib,Proteasome Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.870655,1
NCGC00242514-13,COCCN1C(C)=[N+](CC2=NC=CN=C2)C3=C1C(=O)C4=CC=CC=C4C3=O,-8.381638068890123,Sepantronium bromide,Survivin Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,1.032325,0
NCGC00263017-01,COC1=C(OC)C=C2C(NCCN3CCOCC3)=NC(=NC2=C1)C4=CC=C(C=C4)N5CCN(C)CC5,-7.731609264370069,CPG-52364,"TLR 7, 8 and 9 Antagonist",NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,1.06726,0
NCGC00346962-02,CN1C=C(C=N1)C2=CC=C3N=CC4=C(N(C(=O)C=C4)C5=CC6=C(CCN6C(=O)C=C)C=C5)C3=C2,-6.031605320261941,HMSL10077,BTK Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.953735,0
NCGC00346656-03,CCC1=C2N=C(C=C(NCC3=CC=C[N+]([O-])=C3)N2N=C1)N4CCCC[C@H]4CCO,-7.18160253455865,Dinaciclib (SCH727965),CDK1/2/5/9 Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,1.0484149999999999,0
NCGC00263183-11,CN1CCN(CC1)C2=CC=C(NC3=NC=C4C(=O)N(CC=C)N(C4=N3)C5=CC=CC(=N5)C(C)(C)O)C=C2,-5.881605633370822,MK-1775,Wee1 Kinase Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.9798600000000001,0
NCGC00263117-17,CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C3=CC=CC=C3N1,-6.231605379060391,Panobinostat,HDAC Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.647755,1
NCGC00249613-10,CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN2CCOCC2)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]4(C)CO4,-7.4816045202261074,Carfilzomib,Proteasome Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.363185,1
NCGC00346951-03,O=C1C2=CC=CC=C2[N+]3=C1C4=C(C=C3)C5=CC=CC=C5N4,-5.931605578511759,Fascaplysin,CDK4/6 Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.754665,1
NCGC00345799-07,COC[C@H](NC(=O)[C@H](COC)NC(=O)C1=CN=C(C)S1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)[C@@]3(C)CO3,-6.8316056515638195,Oprozomib,Proteasome Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.7344999999999999,1
NCGC00263222-02,CC1(C)OC2=C([C@H](NCC3=CC=CC=C3)[C@@H]1O)C(=O)C4=CC=CC=C4C2=O,-5.481605573349707,CAY-10581,IDO Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.868555,1
NCGC00242217-07,COC1=CC2=C(C=C1OC)N(C=N2)C3=CC(OCC4=C(C=CC=C4)C(F)(F)F)=C(S3)C(N)=O,-5.83160565156382,GW-843682X,Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.850025,1
NCGC00347952-11,C\C(=N/NC(=S)N1CCC1)C2=NC=CC=C2,-8.731656086048936,NSC-319726,Mutant p53 Activator,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.9822,0
NCGC00346535-01,COC1=CC=C(C=C1)[S+]([O-])(=O)N(C(C)=O)C2=C(\C=C\C3=CC=N(=O)C=C3)C=CC=C2,-6.081605805570835,IVX-214,Polo-like Kinase-1 (Plk-1) Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.97896,0
NCGC00345825-01,FC(F)C1=NN(C(=C1)C2=CN=C(NC(=O)C3CC3)S2)C4=C(Cl)C=CC=C4Cl,-5.931605578511759,BMS-3,LIMK Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,0.86819,1
NCGC00188382-05,CC(NCC1=CC=C2N(CC(C)(C)O)\C(NC2=C1)=N\C(=O)C3=CC=C(S3)C4=CNN=C4)C(C)(C)C,-6.131605396855363,NCGC00188382-01,ITK inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,1.0901,0
NCGC00345852-02,CC(C)C1=C2N=C(N[C@@H](CO)[C@H](O)CO)C=C(NCC3=CC=CC=C3)N2N=C1,-6.231605379060391,BS-194,CDK1/2/5/9 Inhibitor,NCGC00182868-16,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,-7.531608356085238,Daporinad,NAMPT Inhibitor,1.0646149999999999,0
