Protocol Name,Sample ID,Resolve,InChiKey,Sample Data Type,AC50 (uM),CC-v2,Efficacy,Max Resp,Structure,Metabolic Stability [m],Permeability [1e-6 cm/sec],Solubility [ug/ml],Drug Name,Assay Plate ID,Supplier ID,Supplier,Library,Log AC50 (M),Ligand Efficiency,Sample Name,Alias,CC-v1,LEC,BEI,SEI,Data Range,Inf Activity,Hill Coef,PValue,R2,AC50_2 (uM),Log AC50 2,Hill Coef 2,Fraction,Sample ID2,Tox21 ID,Zero Activity,User Flag,Max Read1,Max Data,Min Data,AUC,AUC Fit,Cmpd Plate ID,Comment,Log AC50-,Log AC50+,Inf Activity-,Inf Activity+,Custom 2,Custom 1,NCGC Unique ID,Mapping ID,Drug ID,Assay Name,Hash Key(24),MLSMR Compound Class,Primary MOA,Origin,Solvent,Salt Code,Purity,Purity Rating,MW,PubChem SID,CAS#,Gene Symbol,Gene ID,Tanimoto,Layer Index,Data Points,Mask No,Log Dye Conc,Report Flag,Assay Protocol ID,Mask Flags,Sample Replicate,Plate Replicate,Measure Time,Replicate IDs,Data Mode,Assay Outcome,Phenotype,Activity Score,Confirmation Flag,Control Flag,Conc ID,Experiment Set,Team,Scientist,IC50 (uM),Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Sample Data ID
panc1-proliferating,NCGC00242514-01,NCGC00242514-01|NCGC00242514-02|NCGC00242514-03|NCGC00242514-04|NCGC00242514-05|NCGC00242514-06|NCGC00242514-07|NCGC00242514-08|NCGC00242514-09|NCGC00242514-10|NCGC00242514-11|NCGC00242514-12|NCGC00242514-13|NCGC00242514-14|NCGC00242514-15|NCGC00242514-16,InChIKey=QBIYUDDJPRGKNJ-UHFFFAOYSA-M,activity,0.004153,-1.1,-96.355,13.794,COCC[N]1C(=[N+](CC2=NC=CN=C2)C3=C1C(=O)C4=CC=CC=C4C3=O)C,,,,,,S1130,Selleck,,-8.3816,0.426,Sepantronium bromide,YM-155;YM155,-1.1,,23.059,10.737,103.501,5.722,1.464,0,0.963,,,,,,,102.077,,,100.075,-3.425,96.83,,,,,,,,,,48W6NWMUYDWU,OTSOOHRUMBRSHZ,,PANC1,BvVEKdPeJJPMjNXfgw,,Survivin Inhibitor,,,BR,,,364.4,124950713,781661-94-7,BIRC5,332,,,33,0,,,104265,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,"221,647,183,221,647,000,000,000,000",,,,,1,,155554729,,,HTS,,,,,,,,,,,,,,,,,,,,,,,,,,,221656419
panc1-proliferating,NCGC00016447-02,MLS002154084-01|MLS002473284-01|NCGC00016447-01|NCGC00016447-02|NCGC00169458-01|NCGC00169458-02|NCGC00169458-03|NCGC00179329-01|NCGC00179329-02|NCGC00344555-01|NCGC00344555-02|NCGC00344555-03|NCGC00389874-01,InChIKey=MYEJFUXQJGHEQK-KSRSKBPASA-N,activity,0.00466,-1.1,-99.042,6.627,C[C@@H]1O[C@@H](O[C@H]\2CC[C@]\3(C)[C@@H]4CC[C@]5(C)[C@@H](CC[C@@]5(O)[C@H]4CCC3=C2)C/6=C/OC(=O)/C=C6)[C@H](O)[C@H](O)[C@@H]1O,,,,"CIPLUS_168268;Proscillaridin A;Proscillaridin;Caradrin;CIPLUS_153303;3-(6-Deoxy-alpha-L-mannopyranosyloxyl)-14-hydroxybufa-4,20,22-trienolide;Ysatfabrik Brand of Proscillaridin;proscillaridinum;PROSCILLARIDIN;NCGC_Prestw-986;Scillarenin 3beta-rhamnoside;A, Proscillaridi;proscillaridine;Digitalysat;Knoll Brand of Proscillaridin;Proscilaridina;Scillase;LS-125804;Abbott Brand of Proscillaridin;Ziethen Brand of Proscillaridin;NCGC00016447-01;Sandoscill;Talusin;Rhamnoside, Scillareni;Bufa-4,20,22-trienolide, 3-((6-deoxy-alpha-L-mannopyranosyl)oxy)-14-hydroxy-, (3beta)-;Proscillaridinum;Proscillaridine;",,P2428,SIGMA,,-8.3316,0.301,Proscillaridin," Scillase; Proscillaridin;Proscillaridin; ; Caradrin; Sandoscill; Digitalysat; A, Proscillaridi; Proscillaridin A; Proscilaridina; Talusin; Rhamnoside, Scillareni",-1.1,,15.698,6.624,104.156,8.853,1.627,0,0.933,,,,,,,107.895,,,105.779,1.623,122.847,121.15,,,,,,,,,QCNSNQK983HA,MYEJFUXQJGHEQK,7359449;,PANC1,geaRuqriuqATvEpCtF,,Cardiac glycoside,,,,,,530.6,124882270,466-06-8,,,,,33,0,,,104265,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,"221,643,643,221,643,000,000,000,000",,,,,1,,155551061,,,HTS,,,,,,,,,,,,,,,,,,,,,,,,,,,221657349
panc1-proliferating,NCGC00345782-01,NCGC00345782-01|NCGC00345782-02|NCGC00345782-03|NCGC00390422-01|NCGC00485423-01|NCGC00485423-02,InChIKey=BOIPLTNGIAPDBY-UHFFFAOYSA-N,activity,0.00466,-1.1,-116.891,16.735,ClC1=CC=C(OCCCCCCN\C(NC2=CC=NC=C2)=N/C#N)C=C1,,,,,,11021,Cayman,,-8.3316,0.44,GMX-1778,CHS-828,-1.3,,22.399,10.107,114.684,10.895,1,0,0.884,,,,,,,127.786,,,118.321,3.636,166.362,,,,,,,,,,WPDCSUNQWBN9,BOIPLTNGIAPDBY,,PANC1,dqyZaBlJxfnIkydThi,,IKK beta Inhibitor,,,,,,371.9,174007105,200484-11-3,IKBKB,3551,,,33,0,,,104265,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,"221,644,306,221,645,000,000,000,000",,,,,1,,155551852,,,HTS,,,,,,,,,,,,,,,,,,,,,,,,,,,221656493
panc1-proliferating,NCGC00162409-03,NCGC00162409-01|NCGC00162409-02|NCGC00162409-03|NCGC00162409-04|NCGC00162409-05|NCGC00162409-06|NCGC00162409-07|NCGC00162409-08|NCGC00162409-09|NCGC00162409-10,InChIKey=XDHNQDDQEHDUTM-ROZMNZCYSA-N,activity,0.009298,-1.1,-91.673,14.434,CO[C@H]1\C=C/C=C(/C)C[C@H](C)[C@H](O)[C@H](C)\C=C(C)/C=C(/OC)C(=O)O[C@@H]1[C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](O)[C@H](C)[C@H](O2)C(C)C,,,,,,B-1183,AG Scientific,,-8.0316,0.251,Bafilomycin A1,Bafilomycin A1,-1.1,,12.893,5.949,94.15,13.793,1,0,0.951,,,,,,,105.465,,,101.02,6.871,174.872,169.803,,,,,,,,,3D3GYWP6FY5Z,XDHNQDDQEHDUTM,,PANC1,EgcpOYWBISyKCMHqLe,,Vacuolar H+ ATPase (V-ATPase) Inhibitor,,,,,,622.8,174007160,88899-55-2,,,,,33,0,,,104265,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,"221,644,336,221,647,000,000,000,000",,,,,1,,155551882,,,HTS,,,,,,,,,,,,,,,,,,,,,,,,,,,221656356
panc1-proliferating,NCGC00017394-08,MLS000069786-01|MLS001076487-01|MLS002702983-01|NCGC00013319-01|NCGC00013319-02|NCGC00015769-01|NCGC00015769-02|NCGC00015769-03|NCGC00015769-04|NCGC00015769-05|NCGC00015769-06|NCGC00015769-07|NCGC00015769-08|NCGC00015769-09|NCGC00015769-10|NCGC00015769-11|NCGC00015769-12|NCGC00015769-13|NCGC00015769-14|NCGC00015769-15|NCGC00015769-16|NCGC00015769-17|NCGC00015769-18|NCGC00015769-19|NCGC00015769-20|NCGC00015769-21|NCGC00015769-22|NCGC00015769-23|NCGC00015769-24|NCGC00015769-25|NCGC00015769-26|NCGC00015769-27|NCGC00015769-28|NCGC00015769-29|NCGC00015769-30|NCGC00015769-31|NCGC00015769-32|NCGC00015769-33|NCGC00015769-34|NCGC00017076-01|NCGC00163473-01|NCGC00255970-01|NCGC00261628-01|NCGC00263656-01,InChIKey=MVMUAXUYSJSGSG-XDCCOKFCSA-N,activity,0.009298,-1.1,-84.09,5.149,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C6=CC(=O)OC6)[C@H](O)[C@H](O)[C@H]1O,,,,"OUABAIN HYDRATE, (-)",,CM109,BIOMOL,,-8.0316,0.269,G-Strophanthin,";Strophantine octahydrate; Acocantherine;OUABAIN; Strophantine octahydrate; Ouabain octahydrate;Ouabain; Ouabain Octa; K, Acolongiflorosid; G Strophanthi; Acolongifloroside K",-1.3,,13.735,3.886,88.892,8.611,1,0,0.887,,,,,,,92.7,,,90.883,1.991,145.816,,,,,,,,,,YAYQ3SCXGTYP,LPMXVESGRSUGHW,7399112;,PANC1,bvKZlhGtslaTCXogxk,,Na+/K+-ATPase Inhibitor,,,H2O,,,584.7,124883191,11018-89-6,NKAIN1,79570,,,33,0,,,104265,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,"221,644,375,221,647,000,000,000,000",,,,,1,,155551921,,,HTS,,,,,,,,,,,,,,,,,,,,,,,,,,,221656391
panc1-proliferating,NCGC00263017-01,NCGC00263017-01,InChIKey=GDNHZGWRCNOWCF-UHFFFAOYSA-N,activity,0.018552,-1.1,-99.66,9.201,COC1=C(OC)C=C2C(=NC(=NC2=C1)C3=CC=C(C=C3)N4CCN(C)CC4)NCCN5CCOCC5,,365.89594,>73,,,BTM10-096,NCGCChem,,-7.7316,0.295,CPG-52364,CPG-52364,-1.1,,15.692,10.104,118.23,2.161,1.464,0,0.938,,,,,,,101.821,,,113.134,-5.096,146.495,146.932,,,,,,,,,6CSDLDRFB8L7,TUOZJWZCVIRDKO,,PANC1,uOnJOurZdTzGyTrWYu,,"TLR 7, 8 and 9 Antagonist",,,TFA,,,492.6,137275921,1093135-60-4,TLR7,51284,,,33,0,,,104265,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,"221,647,708,221,644,000,000,000,000",,,,,1,,155552446,,,HTS,,,,,,,,,,,,,,,,,,,,,,,,,,,221656182
panc1-proliferating,NCGC00163548-02,MLS002702903-01|NCGC00163548-01|NCGC00163548-02|NCGC00163548-03|NCGC00163548-04|NCGC00163548-05|NCGC00163548-06|NCGC00649879-01,InChIKey=AUJXLBOHYWTPFV-AAVGABITSA-N,activity,0.020816,-1.1,-91.186,-0.101,CS[C@H]1SC[C@H]2N(C)C(=O)[C@@H](C)NC(=O)[C@H](COC(=O)[C@@H](C(C)C)N(C)C(=O)[C@@H]1N(C)C(=O)[C@@H](C)NC(=O)[C@H](COC(=O)[C@@H](C(C)C)N(C)C2=O)NC(=O)C3=NC4=CC=CC=C4N=C3)NC(=O)C5=NC6=CC=CC=C6N=C5,,,,,,Echinomycin,Cayman,,-7.6816,0.137,Echinomycin,Echinomycin,-1.1,,6.975,2.179,111.89,8.005,1.826,0,0.964,,,,,,,99.191,,,105.973,-5.917,172.767,,,,,,,,,,6GDS955Z55SQ,AUJXLBOHYWTPFV,,PANC1,MdQnuMTRhwuSLslnIa,,Antineoplastic Antibiotics,,,,,,1101.3,174007002,512-64-1,,,,,33,0,,,104265,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,"221,647,193,221,647,000,000,000,000",,,,,1,,155554739,,,HTS,,,,,,,,,,,,,,,,,,,,,,,,,,,221656413
panc1-proliferating,NCGC00182868-02,NCGC00182868-01|NCGC00182868-02|NCGC00182868-03|NCGC00182868-04|NCGC00182868-05|NCGC00182868-06|NCGC00182868-07|NCGC00182868-08|NCGC00182868-09|NCGC00182868-10|NCGC00182868-11|NCGC00182868-12|NCGC00182868-13|NCGC00182868-14|NCGC00182868-15|NCGC00182868-16|NCGC00182868-17|NCGC00182868-18,InChIKey=KPBNHDGDUADAGP-VAWYXSNFSA-N,activity,0.029403,-1.1,-75.801,11.368,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,,,,,,Axon 1279,ChemAxon,,-7.5316,0.356,Daporinad,FK-866;APO-866;Daporinad,-1.1,,19.233,12.07,103.223,17.032,1.885,0,0.944,,,,,,,92.832,,,112.935,9.711,205.835,201.558,,,,,,,,,XKWR2PMXPJ3U,KPBNHDGDUADAGP,,PANC1,ihxSIMyPAHsnoCfcSi,,NAMPT Inhibitor,,,,,,391.5,137275830,658084-64-1,NAMPT,10135,,,33,0,,,104265,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,"221,644,077,221,644,000,000,000,000",,,,,1,,155551623,,,HTS,,,,,,,,,,,,,,,,,,,,,,,,,,,221657342
panc1-proliferating,NCGC00249613-03,NCGC00249613-01|NCGC00249613-02|NCGC00249613-03|NCGC00249613-04|NCGC00249613-05|NCGC00249613-06|NCGC00249613-07|NCGC00249613-08|NCGC00249613-09|NCGC00249613-10|NCGC00249613-11|NCGC00249613-12|NCGC00249613-13|NCGC00249613-14|NCGC00249613-15|NCGC00249613-16,InChIKey=BLMPQMFVWMYDKT-NZTKNTHTSA-N,activity,0.032991,-1.1,-100.742,-0.386,CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN2CCOCC2)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]4(C)CO4,,,,,,S2853,Selleck,,-7.4816,0.197,Carfilzomib,Carfilzomib;ONO-7057;PR-171; Carfilzomib;Carfilzomib (PR-171),-1.1,,10.391,4.718,129.33,-2.251,2.588,0,0.964,,,,,,,98.49,,,115.599,-13.732,144.098,,,,,,,,,,G55PC23JUAMK,BLMPQMFVWMYDKT,,PANC1,oOEkJZHxCYtdpunmhZ,,Proteasome Inhibitor,,,,,,719.9,174006371,868540-17-4,PSMD1,5707,,,33,1,,,104265,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,"221,643,400,221,645,000,000,000,000",,,,,1,,155550946,,,HTS,,,,,,,,,,,,,,,,,,,,,,,,,,,221656903
panc1-proliferating,NCGC00242506-02,MLS004774142-01|NCGC00168751-01|NCGC00242506-01|NCGC00242506-02|NCGC00242506-03|NCGC00242506-04|NCGC00242506-05|NCGC00242506-06|NCGC00242506-07|NCGC00242506-08|NCGC00242506-09|NCGC00242506-10|NCGC00242506-11|NCGC00242506-12|NCGC00242506-13|NCGC00242506-14|NCGC00242506-15|NCGC00242506-16|NCGC00242506-17|NCGC00242506-18|NCGC00242506-19|NCGC00242506-20|NCGC00242506-21|NCGC00242506-22|NCGC00242506-23|NCGC00242506-24|NCGC00242506-25|NCGC00242506-26|NCGC00242506-27|NCGC00242506-28,InChIKey=GXJABQQUPOEUTA-RDJZCZTQSA-N,activity,0.037016,-1.1,-95.605,-11.047,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)B(O)O)c2cnccn2,,,,,,S1013,Selleck,,-7.4316,0.364,Bortezomib, Bortezomib;Bortezomib;MLN-341;LDP-341;Velcade,-1.1,,19.336,5.967,112.57,-6.035,4.955,0,0.984,,,,,,Tox21_112672_1,89.57,,,100.12,-12.45,132.752,131.126,,,,,,,,,HBWAWX2HPNMG,GXJABQQUPOEUTA,,PANC1,pLiNReoUipreqkjHyB,,Proteasome Inhibitor,,,,,,384.2,174007130,179324-69-7,PSMD1,5707,,,33,1,,,104265,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,"221,643,387,221,645,000,000,000,000",,,,,1,,155550933,,,HTS,,,,,,,,,,,,,,,,,,,,,,,,,,,221656104
